TICKER,PERIOD,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^SPX,5,20220829,153000,4034.58,4035.47,4022.67,4035.47,60952195,0
^SPX,5,20220829,153500,4036.42,4040.43,4033.22,4034.49,27644527,0
^SPX,5,20220829,154000,4034.65,4042.3,4034.4,4037.39,25791474,0
^SPX,5,20220829,154500,4036.48,4036.96,4029.66,4031.11,21363559,0
^SPX,5,20220829,155000,4032.2,4040.41,4032.2,4037.61,22875627,0
^SPX,5,20220829,155500,4038.09,4045.37,4034.16,4034.33,21534067,0
^SPX,5,20220829,160000,4034.24,4035.61,4031.27,4033.17,20723997,0
^SPX,5,20220829,160500,4032.57,4037.18,4031.02,4035.66,19104033,0
^SPX,5,20220829,161000,4035.04,4041.79,4035.04,4036.97,20744474,0
^SPX,5,20220829,161500,4037.25,4048.26,4037.25,4046.62,20903625,0
^SPX,5,20220829,162000,4047.46,4049.32,4045.83,4047.1,16940079,0
^SPX,5,20220829,162500,4046.85,4048.27,4041.21,4041.21,19022391,0
^SPX,5,20220829,163000,4039.79,4044,4033.12,4034.12,17775240,0
^SPX,5,20220829,163500,4034.27,4034.54,4026.8,4026.91,17762286,0
^SPX,5,20220829,164000,4026.94,4029.46,4024.27,4028.61,16387181,0
^SPX,5,20220829,164500,4029.24,4029.83,4025.16,4026.78,14677118,0
^SPX,5,20220829,165000,4027.27,4027.91,4018.15,4020.49,16455070,0
^SPX,5,20220829,165500,4020.06,4020.37,4018,4019.5,15981201,0
^SPX,5,20220829,170000,4018.92,4027.51,4018.88,4026.36,15284213,0
^SPX,5,20220829,170500,4026.45,4026.85,4018.64,4022.76,15103520,0
^SPX,5,20220829,171000,4023.34,4024.12,4019.94,4021.99,13715122,0
^SPX,5,20220829,171500,4022.15,4025.97,4022.05,4024.83,13120580,0
^SPX,5,20220829,172000,4025.1,4030.72,4024.29,4029.27,13500501,0
^SPX,5,20220829,172500,4029.62,4031.56,4026.5,4027.13,13443026,0
^SPX,5,20220829,173000,4027.07,4035.58,4024.28,4035.05,15555349,0
^SPX,5,20220829,173500,4034.86,4039.45,4032.12,4034.48,14929654,0
^SPX,5,20220829,174000,4034.46,4034.46,4027.26,4027.26,11744113,0
^SPX,5,20220829,174500,4027.05,4034.62,4026.25,4034.6,12199928,0
^SPX,5,20220829,175000,4034.88,4036.97,4033.21,4035.89,10939017,0
^SPX,5,20220829,175500,4036.55,4039.66,4036.33,4038.7,9740381,0
^SPX,5,20220829,180000,4038.98,4046.1,4038.83,4045.63,13271808,0
^SPX,5,20220829,180500,4046.13,4048.04,4043.86,4044.91,11509891,0
^SPX,5,20220829,181000,4044.75,4047.18,4042.03,4044.15,10540771,0
^SPX,5,20220829,181500,4043.88,4049.15,4043.83,4046.66,11627847,0
^SPX,5,20220829,182000,4046.26,4046.85,4042.84,4043.09,8726186,0
^SPX,5,20220829,182500,4043.12,4045.58,4042.11,4043.05,10046997,0
^SPX,5,20220829,183000,4043.27,4043.27,4037.51,4037.71,9534350,0
^SPX,5,20220829,183500,4037.55,4040.21,4036.48,4039.81,9459029,0
^SPX,5,20220829,184000,4039.6,4043.65,4039.57,4043.65,9812183,0
^SPX,5,20220829,184500,4043.72,4052.46,4042.81,4052.01,13559202,0
^SPX,5,20220829,185000,4052.04,4057.25,4051.82,4055.32,11619498,0
^SPX,5,20220829,185500,4055.67,4055.81,4051.07,4052.22,9386594,0
^SPX,5,20220829,190000,4051.71,4055.98,4051.71,4052.62,10328993,0
^SPX,5,20220829,190500,4052.91,4056.69,4052.76,4055.08,10164950,0
^SPX,5,20220829,191000,4055.07,4055.83,4050.65,4052.72,9215298,0
^SPX,5,20220829,191500,4052.47,4052.47,4044.42,4045.66,11435824,0
^SPX,5,20220829,192000,4045.96,4047.93,4044.45,4045.26,8752468,0
^SPX,5,20220829,192500,4045.41,4049.4,4044.68,4049.14,9941864,0
^SPX,5,20220829,193000,4049.26,4053.86,4049.26,4053.86,8793759,0
^SPX,5,20220829,193500,4053.76,4055.51,4053.04,4053.56,10035695,0
^SPX,5,20220829,194000,4053.57,4060.35,4052.34,4060.24,10734874,0
^SPX,5,20220829,194500,4060.26,4062.95,4054.31,4054.31,12354557,0
^SPX,5,20220829,195000,4054.29,4056.14,4053.64,4054.54,8693354,0
^SPX,5,20220829,195500,4054.58,4057.17,4053.96,4056.22,8926486,0
^SPX,5,20220829,200000,4056.23,4056.23,4051.64,4051.64,10236692,0
^SPX,5,20220829,200500,4051.72,4054.61,4050.97,4051.4,10972032,0
^SPX,5,20220829,201000,4050.98,4052.5,4048.05,4048.94,10802219,0
^SPX,5,20220829,201500,4048.03,4048.33,4044.14,4044.14,10986275,0
^SPX,5,20220829,202000,4044.48,4044.95,4043.11,4044.95,9584849,0
^SPX,5,20220829,202500,4044.88,4048.37,4044.88,4045.88,9914564,0
^SPX,5,20220829,203000,4045.57,4050.67,4045.57,4050.67,11191536,0
^SPX,5,20220829,203500,4051.19,4054.35,4050.92,4052.19,9489401,0
