Date,BTC-USD,ETH-USD,^GSPC,EURUSD=X,SI=F,ACAEUO.MI,ACAPER.MI,ACABRT.MI,XMLC.F,XDW0.DE,BRK-A,7309.T,AIGI.MI,WEAT.MI
2018-07-04,6597.5498046875,467.3179931640625,,1.166235089302063,,,,,,31.209999084472656,,15326.978515625,10.470000267028809,0.5404000282287598
2018-07-05,6639.14013671875,474.4119873046875,2736.610107421875,1.1695905923843384,16.007999420166016,,,,,31.082500457763672,283635.0,15077.603515625,10.425999641418457,0.5515999794006348
2018-07-06,6673.5,474.0119934082031,2759.820068359375,,15.980999946594238,,,,,31.030000686645508,283700.0,15154.333984375,10.312000274658203,0.5473999977111816
2018-07-07,6856.93017578125,491.6600036621094,,,,,,,,,,,,
2018-07-08,6773.8798828125,489.1189880371094,,1.1752262115478516,,,,,,,,,,
2018-07-09,6741.75,476.6820068359375,2784.169921875,1.1756960153579712,16.05299949645996,,,,,31.447500228881836,286720.0,15442.07421875,10.446000099182129,0.554099977016449
2018-07-10,6329.9501953125,434.42401123046875,2793.840087890625,1.1727042198181152,16.003000259399414,,,,,31.77750015258789,286385.0,15374.9345703125,10.319999694824219,0.5354999899864197
2018-07-11,6394.7099609375,446.51800537109375,2774.02001953125,1.1676785945892334,15.732000350952148,,,,,31.229999542236328,288481.0,15259.8388671875,10.10200023651123,0.5254999995231628
2018-07-12,6228.81005859375,430.0740051269531,2798.2900390625,1.1665889024734497,15.89799976348877,,,,,31.142499923706055,288000.0,15298.2041015625,10.21399974822998,0.5189999938011169
2018-07-13,6238.0498046875,434.0270080566406,2801.31005859375,,15.73900032043457,,,,,31.450000762939453,290000.0,15432.482421875,10.175999641418457,0.5432000160217285
2018-07-14,6276.1201171875,436.08599853515625,,,,,,,,,,,,
2018-07-15,6359.64013671875,449.8500061035156,,1.1679104566574097,,,,,,,,,,
2018-07-16,6741.75,480.6579895019531,2798.429931640625,1.170946478843689,15.734999656677246,,,,,30.825000762939453,289000.0,15432.482421875,10.029999732971191,0.5356000065803528
2018-07-17,7321.0400390625,501.00201416015625,2809.550048828125,1.1653246879577637,15.545999526977539,,,,,30.864999771118164,288500.0,15566.7646484375,10.017999649047852,0.5472000241279602
2018-07-18,7370.77978515625,480.51300048828125,2815.6201171875,1.164564609527588,15.503000259399414,,,,,30.80500030517578,303210.0,15653.083984375,10.093999862670898,0.5465999841690063
2018-07-19,7466.85986328125,469.6189880371094,2804.489990234375,1.1655147075653076,15.34000015258789,,,,,31.09000015258789,299000.0,15864.09375,9.98900032043457,0.5562999844551086
2018-07-20,7354.1298828125,450.697998046875,2801.830078125,,15.489999771118164,,,,,30.78499984741211,299380.0,15969.5966796875,10.03600025177002,0.5629000067710876
2018-07-21,7419.2900390625,462.4360046386719,,,,,,,,,,,,
2018-07-22,7418.490234375,459.6570129394531,,1.1741912364959717,,,,,,,,,,
2018-07-23,7711.10986328125,450.8529968261719,2806.97998046875,1.1694128513336182,15.368000030517578,,,,,30.774999618530273,300230.0,15912.0517578125,10.064000129699707,0.567300021648407
2018-07-24,8424.26953125,479.37298583984375,2820.39990234375,1.1685519218444824,15.463000297546387,,,,,31.079999923706055,300400.0,15864.09375,10.272000312805176,0.5593000054359436
2018-07-25,8181.39013671875,472.4930114746094,2846.070068359375,1.1737502813339233,15.532999992370605,,,,,31.165000915527344,299816.0,15720.2236328125,10.229999542236328,0.5884000062942505
2018-07-26,7951.580078125,464.0369873046875,2837.43994140625,1.1642934083938599,15.437999725341797,,,,,31.389999389648438,300501.0,15557.171875,10.26200008392334,0.5906000137329102
2018-07-27,8165.009765625,469.6659851074219,2818.820068359375,,15.435999870300293,,,,,31.4950008392334,302000.0,15566.7646484375,10.29800033569336,0.5856999754905701
2018-07-28,8192.150390625,466.89801025390625,,,,,,,,,,,,
2018-07-29,8218.4599609375,466.6650085449219,,1.16604483127594,,,,,,,,,,
2018-07-30,8180.47998046875,457.08099365234375,2802.60009765625,1.1707408428192139,15.475000381469727,,,,,31.405000686645508,303432.0,15374.9345703125,10.222000122070312,0.5989999771118164
2018-07-31,7780.43994140625,433.86700439453125,2816.2900390625,1.168961763381958,15.5,,,,,31.575000762939453,301550.0,15394.119140625,10.291999816894531,0.6068999767303467
2018-08-01,7624.91015625,420.74700927734375,2813.360107421875,1.1665889024734497,15.394000053405762,,,,,31.190000534057617,301200.0,15739.4072265625,10.119999885559082,0.6133000254631042
2018-08-02,7567.14990234375,412.6210021972656,2827.219970703125,1.1586008071899414,15.329000473022461,,,,,31.155000686645508,301160.0,15326.978515625,10.071999549865723,0.6359999775886536
2018-08-03,7434.39013671875,418.2619934082031,2840.35009765625,,15.406000137329102,,,,,31.1299991607666,304671.0,15518.8056640625,10.206000328063965,0.6205000281333923
2018-08-04,7032.85009765625,407.25201416015625,,,,,,,,,,,,
2018-08-05,7068.47998046875,410.5159912109375,,1.1562297344207764,,,,,,,,,,
