"Date","Real Volume"
"2021-01-11","27322358043.821487"
"2021-02-23","26593897261.357132"
"2021-09-07","26151773312.379364"
"2021-05-19","25976416732.8666"
"2021-07-26","24138776845.134228"
"2021-01-29","23466769467.501293"
"2021-02-22","21505061760.369072"
"2021-05-17","20657859399.644333"
"2021-05-13","19467997306.45397"
"2021-10-06","18802495797.18987"
"2021-04-18","17964710977.281956"
"2021-09-24","17336941816.143867"
"2021-12-04","17077720403.497211"
"2021-01-08","17073457424.610939"
"2021-05-20","17071431582.973715"
"2021-10-18","17044351634.4796"
"2021-08-05","17017126931.795921"
"2021-10-15","16930308372.375235"
"2021-10-01","16848759074.14425"
"2021-02-08","16487578734.842085"
"2021-05-24","16439148241.104677"
"2021-03-15","16133669648.642118"
"2021-04-22","16088946932.87137"
"2021-06-21","16023231677.48042"
"2021-05-21","15699719600.31801"
"2021-04-23","15582387270.838633"
"2021-05-23","15579047978.551584"
"2021-10-20","15522145601.613228"
"2021-09-20","15351983925.3955"
"2021-02-09","15206250071.378012"
"2021-01-07","14997830421.247856"
"2021-09-21","14627989118.925055"
"2021-02-26","14614875226.061665"
"2021-01-12","14583627302.297073"
"2021-01-21","14499447533.809427"
"2021-10-21","14492053350.219574"
"2021-07-27","14170215115.290125"
"2021-07-28","14110230197.536049"
"2021-01-10","14040521643.77554"
"2021-08-06","14036938930.787745"
"2021-05-10","13834720164.51147"
"2021-06-22","13682762742.135277"
"2021-04-14","13636539073.658436"
"2021-05-18","13574951081.126268"
"2021-08-09","13518051632.796143"
"2021-10-22","13473880764.369408"
"2021-10-27","13399640412.909515"
"2021-09-08","13325091242.278053"
"2021-02-24","13233866610.812695"
"2021-01-13","13231890194.347565"
"2021-03-13","13212694723.813625"
"2021-01-04","13173240901.936016"
"2021-03-10","13013934988.882114"
"2021-01-06","13009728401.892595"
"2021-11-16","12983917116.377813"
"2021-01-22","12898481345.288036"
"2021-03-24","12859904800.240192"
"2021-01-15","12853965049.702488"
"2021-05-28","12827630771.8275"
"2021-06-09","12807343134.470562"
"2021-04-13","12699839360.493042"
"2021-05-04","12605608178.480192"
"2021-10-12","12535505049.429384"
"2021-09-03","12532713246.341124"
"2021-09-02","12497146650.276598"
"2021-04-16","12469753288.63961"
"2021-09-13","12422018776.74491"
"2021-03-25","12388032038.487568"
"2021-04-26","12378752192.062052"
"2021-02-20","12278755268.768368"
"2021-05-22","12065356204.44142"
"2021-02-19","12054882549.788185"
"2021-02-16","12001129333.787504"
"2021-05-12","11987274835.34925"
"2020-12-17","11933352235.460983"
"2021-09-10","11844567500.25637"
"2021-02-17","11838033867.52868"
"2021-10-19","11744160138.526423"
"2021-05-16","11732167316.961718"
"2021-01-14","11730062207.68014"
"2021-03-12","11689420739.384953"
"2021-02-25","11674484928.351765"
"2022-02-24","11655383839.476713"
"2021-03-11","11616485022.714642"
"2021-03-16","11609720772.451107"
"2021-11-10","11532379032.061102"
"2021-01-03","11515265303.576967"
"2021-01-02","11501133802.372747"
"2021-02-10","11446931658.491571"
"2021-04-20","11331370926.573317"
"2021-09-09","11271417982.01365"
"2022-01-21","11248743609.515211"
"2021-10-26","11103891736.282263"
"2021-09-22","11093927058.979952"
"2021-04-19","11091836266.978893"
"2021-08-12","11090973016.28635"
"2021-06-25","11055664497.46587"
"2021-03-01","11045789337.34453"
"2021-05-26","11017526754.32461"
"2021-08-10","11011192908.610508"
"2021-06-14","10966080459.996412"
"2021-05-25","10909203339.515676"
"2021-02-11","10862639865.492577"
"2021-03-03","10847286519.017828"
"2021-01-05","10842231921.347506"
"2021-10-08","10767855171.574137"
"2021-05-06","10741305740.447878"
"2021-10-13","10636718576.540926"
"2021-05-05","10634378114.47711"
"2021-09-30","10630109290.294542"
"2021-05-15","10609833297.292719"
"2021-03-17","10582789045.9099"
"2021-06-08","10577491593.458479"
"2021-08-17","10549269277.127113"
"2021-08-07","10535749490.391893"
"2021-10-28","10526818735.567478"
"2021-02-12","10511057541.594448"
"2021-03-18","10481674985.074678"
"2021-03-09","10463488205.381386"
"2021-05-14","10438572691.637777"
"2020-12-27","10430231881.189686"
"2021-03-29","10391195037.639751"
"2021-07-08","10362789408.945204"
"2021-10-10","10352108605.930416"
"2021-08-26","10339882466.573837"
"2021-01-27","10333614813.305948"
"2021-02-06","10324325862.733915"
"2021-06-10","10308643920.187803"
"2021-03-31","10307706463.866848"
"2021-07-30","10292734953.014917"
"2021-02-28","10290779172.93758"
"2021-06-23","10265265683.961481"
"2021-04-10","10228054086.722466"
"2021-11-18","10218341749.122496"
"2021-03-04","10201959050.103504"
"2021-05-29","10200368399.222853"
"2021-08-24","10151850556.795881"
"2021-09-26","10111658849.056602"
"2021-03-22","10048406576.282007"
"2021-09-28","10040987020.55184"
"2021-02-04","10033265455.604002"
"2021-08-31","10009420042.776901"
"2021-04-30","10003168255.341797"
"2021-11-26","9999693553.45335"
"2021-01-20","9914179680.967785"
"2021-10-14","9909440779.049671"
"2021-08-19","9819412175.453283"
"2021-03-05","9811877955.932251"
"2021-04-21","9794087222.975653"
"2021-10-11","9727432275.5531"
"2021-05-08","9720203171.173458"
"2022-01-24","9676879357.359907"
"2021-03-26","9656996167.067305"
"2021-10-05","9560994110.760794"
"2021-08-13","9552949193.854635"
"2021-10-07","9530714039.778858"
"2021-04-07","9486334828.415007"
"2021-08-20","9406616493.991512"
"2021-08-08","9351001720.61827"
"2021-09-27","9303172121.453768"
"2021-06-26","9229161597.399775"
"2021-03-08","9195889345.80135"
"2021-06-18","9172375787.957066"
"2021-12-03","9147525930.13051"
"2022-03-16","9107314787.073925"
"2020-11-26","9089545087.774609"
"2021-08-11","9070746003.10184"
"2021-01-28","9017113436.716955"
"2021-05-03","9011200763.946157"
"2021-02-15","9005513701.758574"
"2021-09-06","8993566950.299446"
"2021-05-09","8962989422.169498"
"2021-06-16","8936412869.470453"
"2021-03-02","8906215878.26202"
"2021-08-23","8874941849.122828"
"2021-07-21","8837636872.626974"
"2021-08-16","8815236257.191849"
"2021-11-08","8805560135.46497"
"2022-01-22","8737470369.223743"
"2021-05-27","8730970126.293968"
"2021-01-16","8706817219.848524"
"2021-09-23","8702532774.089645"
"2021-05-31","8673494351.55115"
"2021-01-09","8640027265.799784"
"2019-06-27","8610888665.099197"
"2019-06-26","8606565451.82839"
"2021-03-23","8582561708.815175"
"2021-08-18","8559460203.210125"
"2021-02-14","8544356816.016357"
"2021-05-11","8530254555.50188"
"2021-10-04","8526038096.614907"
"2021-02-18","8517246152.774976"
"2021-12-06","8511419912.496707"
"2021-10-25","8508710995.803928"
"2021-03-30","8503140251.584848"
"2021-06-15","8481438930.021263"
"2021-02-03","8428180307.430234"
"2021-04-12","8420848134.794109"
"2021-06-04","8408987592.899824"
"2021-06-20","8396947034.802668"
"2021-09-16","8390285731.044477"
"2021-08-27","8366371711.4775915"
"2021-02-07","8363728037.47321"
"2021-05-07","8357164908.09675"
"2021-09-01","8352487776.721175"
"2021-06-13","8345055039.329795"
"2021-04-29","8344976544.5539875"
"2021-01-25","8332544545.404465"
"2021-02-21","8332394690.909311"
"2021-03-19","8332365434.321455"
"2021-09-15","8305386363.064462"
"2021-01-19","8268478318.211437"
"2021-08-21","8232272458.817972"
"2021-06-27","8188252866.576157"
"2020-03-13","8165645857.545479"
"2021-04-28","8153027320.638594"
"2021-08-25","8141506652.168691"
"2021-09-29","8134096891.720907"
"2021-06-12","8133794999.3441925"
"2021-01-30","8133220592.798627"
"2021-03-14","8129120848.539439"
"2021-04-25","8123361311.051343"
"2021-11-22","8122172488.109948"
"2021-04-17","8100984544.16105"
"2021-07-29","8083981249.217077"
"2021-04-27","8043226979.7549515"
"2021-08-03","8025613388.467914"
"2021-04-15","7998506539.045134"
"2017-12-08","7990584068.608861"
"2022-02-28","7972284914.278131"
"2021-06-17","7956586566.387093"
"2021-01-26","7948029325.485777"
"2021-11-01","7932153134.235366"
"2021-04-24","7927708497.980256"
"2021-10-29","7922297578.563045"
"2022-01-05","7876938963.559813"
"2021-11-17","7841105209.604584"
"2021-03-21","7831299243.487467"
"2021-04-03","7813568109.9351015"
"2021-11-12","7811470169.185952"
"2021-01-17","7788427138.083717"
"2021-03-20","7786479808.337473"
"2021-06-29","7771038462.361173"
"2021-07-16","7752926145.731189"
"2022-01-26","7668769093.524481"
"2021-02-27","7630471333.538257"
"2021-08-30","7619475110.3403225"
"2021-06-01","7616931084.942264"
"2021-11-23","7562483817.224302"
"2022-03-01","7546372786.005074"
"2021-09-14","7525452405.289349"
"2021-08-04","7515740132.524928"
"2021-11-02","7496334942.966706"
"2021-07-20","7489416048.426747"
"2022-02-08","7487965639.401465"
"2021-02-02","7450099217.469252"
"2020-12-30","7442424435.929913"
"2021-06-11","7441377598.831992"
"2022-02-10","7438568133.503963"
"2021-06-24","7429276273.836226"
"2021-06-07","7426373719.405124"
"2021-12-13","7417393872.473167"
"2021-04-01","7399504457.569428"
"2020-03-12","7396242674.946753"
"2021-11-19","7387840649.743253"
"2021-04-05","7381910669.303151"
"2022-03-10","7379351747.303053"
"2022-03-09","7361153230.238374"
"2022-01-07","7358173305.080745"
"2021-03-07","7355124818.556092"
"2021-04-02","7348142935.459038"
"2021-07-09","7312802202.393461"
